OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,SteamRatio,ElectricityRatio,NaturalGasRatio,SurfacePerBuilding,SurfacePerFloor,ParkingRatio,BuildingRatio
24581,NonResidential,Other,SODO,GREATER DUWAMISH,1937,1.0,1,20975,0,20975,Other - Entertainment/Public Assembly,13144.0,Other,6600.0,Fast Food Restaurant,1070.0,65.44972577696527,16.70000076,43.59999847,347437.6875,0.0,259882.0,87556.0,Compliant,6.46,0.31,0.0,0.7479959985630517,0.25200490087880867,20975.0,20975.0,0.0,1.0
24585,NonResidential,Other,Gorlick's Distribution Center,GREATER DUWAMISH,1918,1.0,1,26075,0,26075,Other,26075.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,61.70000076,182.6000061,1608508.75,0.0,1470083.0,138426.0,Compliant,17.6,0.67,0.0,0.9139415623321913,0.08605859309127165,26075.0,26075.0,0.0,1.0
24587,NonResidential,Warehouse,Lander Station Business Park,GREATER DUWAMISH,1992,1.0,1,29394,0,29394,Non-Refrigerated Warehouse,29394.0,Office,16902.0,Inconnu,14923.139939614732,60.0,32.09999847,85.30000305,1486681.75,0.0,1141948.0,344734.0,Compliant,26.27,0.89,0.0,0.7681186642669152,0.23188150389281365,29394.0,29394.0,0.0,1.0
24589,NonResidential,Warehouse,A2A LLC,GREATER DUWAMISH,1926,1.0,2,20400,0,20400,Non-Refrigerated Warehouse,15000.0,Office,5400.0,Inconnu,14923.139939614732,69.0,21.5,47.29999924,438557.0,0.0,241070.0,197487.0,Compliant,12.17,0.6,0.0,0.5496890940060243,0.4503109059939757,20400.0,10200.0,0.0,1.0
24591,NonResidential,Small- and Mid-Sized Office,2724 1st Avenue South,GREATER DUWAMISH,1926,1.0,1,20460,0,20460,Office,20460.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,16.0,44.20000076,138.6999969,903541.875,0.0,903542.0,0.0,Compliant,6.3,0.31,0.0,1.000000138344446,0.0,20460.0,20460.0,0.0,1.0
24593,NonResidential,Self-Storage Facility,1st Ave Self Storage,GREATER DUWAMISH,1925,1.0,2,25821,0,25821,Self-Storage Facility,25821.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,8.100000381,25.5,209698.7031,0.0,209699.0,0.0,Compliant,1.46,0.06,0.0,1.0000014158408974,0.0,25821.0,12910.5,0.0,1.0
24598,NonResidential,Refrigerated Warehouse,bnr corporation,GREATER DUWAMISH,1955,1.0,2,21870,0,21870,Refrigerated Warehouse,21870.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,45.0,49.09999847,154.3000031,1074350.375,0.0,1074350.0,0.0,Compliant,7.49,0.34,0.0,0.99999965095186,0.0,21870.0,10935.0,0.0,1.0
24599,NonResidential,Warehouse,SOUTH LANDER BUSINESS PARK,GREATER DUWAMISH,1988,3.0,1,51664,0,51664,Non-Refrigerated Warehouse,51664.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,65.44972577696527,68.30000305,177.3999939,3528086.75,0.0,2614003.0,914084.0,Compliant,66.77,1.29,0.0,0.7409123372604146,0.25908773359952103,17221.333333333332,51664.0,0.0,1.0
24600,NonResidential,Medical Office,Navos Psychiatric Hospital,DELRIDGE,1970,1.0,1,43615,0,43615,Medical Office,43615.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,89.0,71.90000153,137.8999939,3133849.5,0.0,1302454.0,1831396.0,Compliant,106.35,2.44,0.0,0.41560834366806704,0.584391815880118,43615.0,43615.0,0.0,1.0
24601,NonResidential,Small- and Mid-Sized Office,Navos Erlick Perez,DELRIDGE,1970,1.0,3,36879,0,36879,Office,16855.0,Inconnu,36804.1605811462,Inconnu,14923.139939614732,26.0,67.90000153,213.1999969,1144267.5,0.0,1144267.0,0.0,Compliant,7.98,0.22,0.0,0.9999995630392369,0.0,36879.0,12293.0,0.0,1.0
